name,CLIP_sim,NIQE,BRISQUE,ImageReward,BorderLeak_MAE,BorderGradJump,PSNR_GT,SSIM_GT,LPIPS_GT,Boundary_PSNR_GT,Boundary_SSIM_GT,Boundary_LPIPS_GT,Boundary_GradL1_GT
sample_00000,0.31423234939575195,2.6225372688286583,8.946860356335236,,0.0,0.025587856769561768,9.023324966430664,0.3950386047363281,0.520357608795166,26.470401763916016,0.9431098699569702,0.04267483204603195,0.2024160772562027
sample_00001,0.23726241290569305,2.797293051792624,12.33970317376108,,0.0,0.24986746907234192,19.947328567504883,0.8685235381126404,0.1066739410161972,26.25409698486328,0.9571470022201538,0.05388253554701805,0.15050317347049713
sample_00002,0.3021933436393738,2.3086376923263425,17.99440280396695,,0.0,0.05205428600311279,16.20083236694336,0.8127967119216919,0.13793881237506866,24.748046875,0.9619037508964539,0.04277234151959419,0.17114311456680298
sample_00003,0.2811734080314636,3.0683305261797367,20.04859468756942,,0.0,0.09475287795066833,16.274864196777344,0.8945587873458862,0.08810511231422424,25.911846160888672,0.9763090014457703,0.028034597635269165,0.2508646249771118
sample_00004,0.27123069763183594,3.3106248062519117,26.013037438459577,,0.0,0.06401866674423218,12.770943641662598,0.6229996681213379,0.2828596830368042,22.865928649902344,0.9360858201980591,0.0613957941532135,0.23168469965457916
sample_00005,0.2625863254070282,2.882240251002583,9.611495555089931,,0.0,0.04328805208206177,11.519872665405273,0.5436159372329712,0.39867228269577026,25.035799026489258,0.9500164985656738,0.06459375470876694,0.17057901620864868
sample_00006,0.2328428030014038,3.604915888618191,24.235428150160004,,0.0,0.0010065734386444092,18.63269805908203,0.8455333709716797,0.11773526668548584,26.677825927734375,0.9577001929283142,0.047668810933828354,0.18697577714920044
sample_00007,0.24595046043395996,2.923070100772738,11.279226362589469,,0.0,0.17245492339134216,20.655012130737305,0.8975907564163208,0.0743800699710846,28.63140869140625,0.9738667011260986,0.02759508043527603,0.22619383037090302
sample_00008,0.2824464738368988,3.8328164348073677,16.95634908063832,,0.0,0.0018179267644882202,15.170347213745117,0.7515706419944763,0.23833014070987701,27.452625274658203,0.9613374471664429,0.05346643924713135,0.08564367145299911
sample_00009,0.25222548842430115,3.7613486613143667,30.591668811785638,,0.0,0.05070522427558899,9.975274085998535,0.2861526608467102,0.5999064445495605,28.751602172851562,0.9586745500564575,0.05942985787987709,0.12186382710933685
__MEAN__,0.26821437627077105,3.1111814681894523,17.801676642035563,,0.0,0.07555538564920425,15.017049789428711,0.6918380677700042,0.25649593621492384,26.279958152770995,0.9576150834560394,0.04815140441060066,0.1797867812216282
sample_00000,0.27763378620147705,3.626663401458756,-5.8778780682107765,,0.0,0.05884793400764465,7.433177947998047,0.41930240392684937,0.6336807012557983,26.035844802856445,0.947326123714447,0.04349908232688904,0.20112344622612
sample_00001,0.2456565499305725,2.897622473153678,10.648369184652182,,0.0,0.20699387788772583,19.027450561523438,0.8758837580680847,0.10007010400295258,24.68147087097168,0.9592196345329285,0.04782173037528992,0.1420843005180359
sample_00002,0.2875300645828247,2.5352778128745435,17.845897889061888,,0.0,0.005757391452789307,17.023366928100586,0.8306877017021179,0.13399198651313782,25.249080657958984,0.9693677425384521,0.03734147176146507,0.15633650124073029
sample_00003,0.28100812435150146,3.166309641581896,15.925442862014023,,0.0,0.09035050868988037,16.704814910888672,0.8907631635665894,0.08798147737979889,24.374588012695312,0.9748350977897644,0.028462614864110947,0.2722189128398895
__MEAN__,0.27295713126659393,3.056468332267219,9.63545796687933,,0.0,0.09048742800951004,15.047202587127686,0.7541592568159103,0.2389310672879219,25.085246086120605,0.962687149643898,0.039281224831938744,0.19294079020619392
sample_00000,0.2801271975040436,2.840242087968485,-1.1248985206076725,,0.0,0.05812951922416687,8.605814933776855,0.44540271162986755,0.4804001450538635,26.288475036621094,0.9455385208129883,0.04593099653720856,0.19122207164764404
sample_00001,0.24843621253967285,2.864979811469421,10.83575034096404,,0.0,0.18805523216724396,20.76736068725586,0.8786720037460327,0.09727327525615692,27.885154724121094,0.9652697443962097,0.04152658209204674,0.12102895230054855
sample_00002,0.301902174949646,2.3467289527271897,17.00146411624948,,0.0,0.09578379988670349,15.394582748413086,0.8021425008773804,0.14066258072853088,25.095340728759766,0.9631385803222656,0.042960431426763535,0.17995375394821167
sample_00003,0.281554251909256,3.369019206403028,20.44718314591111,,0.0,0.13091957569122314,15.612687110900879,0.8925780653953552,0.08977608382701874,25.422611236572266,0.9756559729576111,0.028919288888573647,0.2592597007751465
__MEAN__,0.2780049592256546,2.855242514642031,11.78987477062924,,0.0,0.11822203174233437,15.09511137008667,0.754698820412159,0.20202802121639252,26.172895431518555,0.9624007046222687,0.03983432473614812,0.1878661196678877
sample_00000,0.3258150517940521,2.414455641221473,4.9895925789266755,,0.0,0.07615786790847778,8.076465606689453,0.4086141586303711,0.5525651574134827,27.074687957763672,0.9459606409072876,0.04070213809609413,0.1899978071451187
sample_00001,0.2423928678035736,2.876826072317683,11.887640785466573,,0.0,0.14456424117088318,21.76285743713379,0.8814640045166016,0.09402918815612793,29.577009201049805,0.9641568660736084,0.042166516184806824,0.10509059578180313
sample_00002,0.2738444209098816,2.4834610382070648,17.968154165325103,,0.0,0.008014827966690063,16.194175720214844,0.8146442174911499,0.14141619205474854,24.203779220581055,0.9609858393669128,0.0428992360830307,0.178644061088562
sample_00003,0.27910375595092773,3.3983242681898163,17.92063204872167,,0.0,0.03347769379615784,16.57907485961914,0.8944737315177917,0.0904516875743866,26.20838165283203,0.9770819544792175,0.02690112218260765,0.21566811203956604
sample_00004,0.2715451717376709,3.6384631489842296,22.520680434105742,,0.0,0.06997719407081604,12.872579574584961,0.632270336151123,0.29245489835739136,22.396682739257812,0.9372267723083496,0.06075868010520935,0.23426690697669983
sample_00005,0.2613278031349182,2.5823825149489,16.512428914208357,,0.0,0.019002556800842285,11.639270782470703,0.5096367597579956,0.4041728377342224,25.89916229248047,0.9533571600914001,0.06318634003400803,0.1728145033121109
sample_00006,0.2313898652791977,3.491849004957865,25.03224213632231,,0.0,0.13519692420959473,18.598106384277344,0.8473711013793945,0.11332623660564423,26.322690963745117,0.9581087827682495,0.047050945460796356,0.21843960881233215
sample_00000,0.29392486810684204,2.701489821893804,3.9110141105036007,,0.0,0.041064321994781494,7.985072612762451,0.39663374423980713,0.5257484316825867,27.446178436279297,0.9483373165130615,0.03656423091888428,0.19488367438316345
sample_00001,0.23263956606388092,2.6726032565425872,11.854535844115816,,0.0,0.2163388878107071,20.786609649658203,0.8754002451896667,0.10935534536838531,27.439603805541992,0.9608403444290161,0.050735119730234146,0.13124366104602814
sample_00002,0.28218981623649597,2.4591359262621046,19.826957052794313,,0.0,0.09481418132781982,15.59882640838623,0.8060548305511475,0.13674241304397583,25.407730102539062,0.9641062617301941,0.04172373190522194,0.1944400817155838
sample_00003,0.28861555457115173,3.3413903132342457,21.57696360955262,,0.0,0.02825912833213806,15.514303207397461,0.8926252126693726,0.08702152222394943,26.833057403564453,0.9783486127853394,0.026243053376674652,0.22870108485221863
sample_00004,0.2802193760871887,3.5472864625333145,25.457848176504484,,0.0,0.06694954633712769,11.610828399658203,0.6335235834121704,0.26245272159576416,23.52597427368164,0.9442441463470459,0.0523240752518177,0.21627277135849
sample_00005,0.26627665758132935,2.9412081092658853,21.888455184306366,,0.0,0.053431183099746704,11.686352729797363,0.5308876037597656,0.4202370345592499,23.867408752441406,0.9477289915084839,0.06546139717102051,0.17720866203308105
sample_00006,0.2385493516921997,3.678474433722914,25.927441143989853,,0.0,0.04853850603103638,16.875377655029297,0.8408402800559998,0.12491711974143982,25.46088981628418,0.9522632360458374,0.050825703889131546,0.20381632447242737
sample_00007,0.2390488088130951,2.8885386991768174,6.51747197645156,,0.0,0.00040289759635925293,20.892742156982422,0.8916316032409668,0.08152220398187637,29.066762924194336,0.9721288084983826,0.02789943665266037,0.21018660068511963
sample_00008,0.2835060954093933,3.831180394153811,17.071864250726065,,0.0,0.03348802030086517,14.596370697021484,0.7435020804405212,0.2380136251449585,26.855712890625,0.9571932554244995,0.05842026695609093,0.09952880442142487
